Date,Vaping,Quit Valorant,Walk,Wake Up Early,No Pot,No Energy Drink,Coding,Shower,University,Gym,
2025-04-18,0.9876,0.9704,0.9270,0.9174,0.9043,0.8750,0.8682,0.8682,0.7979,0.5960,
2025-04-17,0.9869,0.9688,0.9230,0.9174,0.8990,0.8682,0.8609,0.8609,0.7868,0.5739,
2025-04-16,0.9862,0.9670,0.9188,0.9174,0.8935,0.8609,0.8533,0.8533,0.7751,0.5506,
2025-04-15,0.9854,0.9652,0.9144,0.9129,0.8876,0.8609,0.8453,0.8453,0.7628,0.5260,
2025-04-14,0.9846,0.9633,0.9097,0.9081,0.8815,0.8533,0.8368,0.8368,0.7498,0.5000,
2025-04-13,0.9838,0.9613,0.9047,0.9081,0.8750,0.8453,0.8279,0.8279,0.7361,0.4726,
2025-04-12,0.9829,0.9592,0.8995,0.9081,0.8682,0.8368,0.8184,0.8279,0.7361,0.4726,
2025-04-11,0.9820,0.9570,0.8940,0.9081,0.8609,0.8279,0.8085,0.8184,0.7361,0.4437,
2025-04-10,0.9810,0.9546,0.8882,0.9031,0.8533,0.8184,0.7980,0.8085,0.7217,0.4133,
2025-04-09,0.9799,0.9521,0.8821,0.8977,0.8453,0.8085,0.7870,0.7980,0.7064,0.3811,
2025-04-08,0.9788,0.9495,0.8756,0.8921,0.8368,0.7980,0.7753,0.7870,0.6903,0.3472,
2025-04-07,0.9777,0.9467,0.8688,0.8862,0.8279,0.7870,0.7630,0.7753,0.6734,0.3115,
2025-04-06,0.9764,0.9438,0.8617,0.8800,0.8184,0.7753,0.7500,0.7630,0.6555,0.2738,
2025-04-05,0.9752,0.9407,0.8541,0.8734,0.8085,0.7630,0.7363,0.7500,0.6366,0.2340,
2025-04-04,0.9738,0.9375,0.8461,0.8734,0.7980,0.7500,0.7219,0.7500,0.6167,0.1921,
2025-04-03,0.9724,0.9341,0.8461,0.8665,0.7870,0.7363,0.7066,0.7363,0.5957,0.1921,
2025-04-02,0.9708,0.9305,0.8377,0.8592,0.7753,0.7219,0.6906,0.7219,0.5736,0.1478,
2025-04-01,0.9692,0.9267,0.8288,0.8515,0.7630,0.7066,0.6736,0.7066,0.5502,0.1011,
2025-03-31,0.9676,0.9226,0.8194,0.8433,0.7500,0.6906,0.6557,0.6906,0.5256,0.0519,
2025-03-30,0.9658,0.9184,0.8194,0.8348,0.7363,0.6736,0.6369,0.6736,0.4996,0.0519,
